Date received,"BANK OF AMERICA, NATIONAL ASSOCIATION",CAPITAL ONE FINANCIAL CORPORATION,"CITIBANK, N.A.","EQUIFAX, INC.",Experian Information Solutions Inc.,JPMORGAN CHASE & CO.,"Navient Solutions, LLC.",SYNCHRONY FINANCIAL,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",WELLS FARGO & COMPANY
2015-12-13,11.0,3.0,6.0,19.0,9.0,1.0,null,5.0,8.0,6.0
2015-12-14,22.0,6.0,22.0,36.0,31.0,17.0,6.0,11.0,28.0,26.0
2015-12-15,34.0,12.0,23.0,35.0,26.0,19.0,6.0,9.0,25.0,33.0
2015-12-16,23.0,16.0,21.0,35.0,34.0,25.0,7.0,4.0,35.0,27.0
2015-12-17,27.0,11.0,21.0,29.0,23.0,11.0,10.0,8.0,26.0,17.0
2015-12-18,26.0,9.0,13.0,30.0,26.0,22.0,6.0,5.0,26.0,23.0
2015-12-19,9.0,6.0,8.0,10.0,21.0,8.0,1.0,5.0,18.0,7.0
2015-12-20,6.0,2.0,9.0,11.0,14.0,10.0,null,2.0,9.0,8.0
2015-12-21,26.0,14.0,20.0,54.0,37.0,24.0,1.0,15.0,40.0,24.0
2015-12-22,27.0,13.0,24.0,56.0,38.0,36.0,5.0,12.0,29.0,32.0
2015-12-23,23.0,7.0,12.0,23.0,21.0,20.0,2.0,6.0,17.0,28.0
2015-12-24,29.0,8.0,12.0,16.0,12.0,17.0,3.0,3.0,9.0,10.0
2015-12-25,7.0,4.0,5.0,8.0,8.0,7.0,1.0,1.0,6.0,3.0
2015-12-26,6.0,3.0,6.0,14.0,5.0,5.0,2.0,3.0,10.0,4.0
2015-12-27,6.0,6.0,12.0,3.0,10.0,4.0,3.0,2.0,5.0,3.0
2015-12-28,21.0,17.0,30.0,29.0,32.0,22.0,3.0,8.0,28.0,25.0
2015-12-29,25.0,24.0,20.0,51.0,58.0,22.0,7.0,11.0,49.0,29.0
2015-12-30,32.0,10.0,20.0,50.0,39.0,28.0,5.0,14.0,41.0,40.0
2015-12-31,24.0,8.0,15.0,40.0,45.0,24.0,4.0,11.0,31.0,24.0
2016-01-01,7.0,3.0,7.0,13.0,13.0,5.0,2.0,2.0,12.0,3.0
2016-01-02,3.0,6.0,5.0,15.0,17.0,7.0,4.0,3.0,11.0,3.0
2016-01-03,2.0,6.0,7.0,17.0,13.0,5.0,1.0,6.0,14.0,2.0
2016-01-04,31.0,13.0,16.0,45.0,28.0,27.0,6.0,15.0,38.0,24.0
2016-01-05,41.0,11.0,41.0,37.0,28.0,41.0,6.0,15.0,34.0,29.0
2016-01-06,30.0,12.0,17.0,51.0,37.0,29.0,6.0,12.0,27.0,28.0
2016-01-07,33.0,19.0,19.0,52.0,35.0,43.0,11.0,9.0,33.0,36.0
2016-01-08,30.0,11.0,20.0,29.0,30.0,30.0,9.0,10.0,12.0,29.0
2016-01-09,13.0,3.0,9.0,16.0,14.0,6.0,3.0,3.0,19.0,7.0
2016-01-10,7.0,9.0,6.0,11.0,12.0,10.0,2.0,3.0,14.0,8.0
2016-01-11,42.0,16.0,18.0,45.0,45.0,24.0,6.0,7.0,29.0,38.0
2016-01-12,34.0,19.0,30.0,67.0,53.0,40.0,9.0,12.0,45.0,39.0
2016-01-13,42.0,12.0,22.0,54.0,54.0,26.0,8.0,12.0,38.0,31.0
2016-01-14,47.0,19.0,28.0,50.0,37.0,52.0,5.0,11.0,25.0,72.0
2016-01-15,49.0,17.0,32.0,30.0,18.0,38.0,7.0,14.0,20.0,57.0
2016-01-16,28.0,7.0,8.0,14.0,15.0,23.0,2.0,5.0,9.0,20.0
2016-01-17,6.0,5.0,7.0,15.0,4.0,7.0,2.0,1.0,11.0,8.0
2016-01-18,12.0,3.0,11.0,22.0,25.0,8.0,3.0,6.0,16.0,11.0
2016-01-19,32.0,17.0,25.0,41.0,35.0,27.0,9.0,10.0,36.0,25.0
2016-01-20,38.0,14.0,22.0,36.0,32.0,38.0,13.0,12.0,32.0,32.0
2016-01-21,40.0,7.0,19.0,50.0,42.0,46.0,9.0,10.0,44.0,41.0
2016-01-22,29.0,12.0,19.0,30.0,36.0,26.0,7.0,13.0,22.0,28.0
2016-01-23,11.0,6.0,13.0,19.0,18.0,9.0,2.0,5.0,25.0,11.0
2016-01-24,5.0,6.0,6.0,13.0,13.0,6.0,null,1.0,10.0,9.0
2016-01-25,34.0,6.0,20.0,38.0,28.0,35.0,10.0,8.0,28.0,22.0
2016-01-26,49.0,19.0,31.0,67.0,37.0,45.0,11.0,17.0,40.0,63.0
2016-01-27,47.0,15.0,27.0,43.0,38.0,37.0,12.0,9.0,24.0,49.0
2016-01-28,37.0,11.0,21.0,44.0,47.0,23.0,6.0,13.0,34.0,33.0
2016-01-29,24.0,10.0,21.0,37.0,33.0,23.0,11.0,5.0,28.0,40.0
2016-01-30,12.0,5.0,6.0,14.0,6.0,7.0,4.0,5.0,10.0,7.0
2016-01-31,12.0,1.0,4.0,16.0,7.0,8.0,3.0,2.0,7.0,4.0
2016-02-01,21.0,8.0,27.0,53.0,50.0,31.0,8.0,10.0,37.0,26.0
2016-02-02,43.0,17.0,24.0,48.0,47.0,37.0,8.0,7.0,30.0,41.0
2016-02-03,40.0,19.0,24.0,51.0,49.0,19.0,8.0,12.0,32.0,34.0
2016-02-04,28.0,10.0,21.0,38.0,29.0,34.0,10.0,11.0,26.0,34.0
2016-02-05,24.0,15.0,18.0,42.0,35.0,22.0,11.0,12.0,34.0,29.0
2016-02-06,6.0,7.0,12.0,13.0,22.0,11.0,4.0,3.0,13.0,6.0
2016-02-07,5.0,4.0,10.0,14.0,22.0,7.0,2.0,3.0,11.0,6.0
2016-02-08,32.0,18.0,21.0,39.0,66.0,35.0,7.0,11.0,31.0,33.0
2016-02-09,42.0,19.0,32.0,43.0,42.0,40.0,9.0,9.0,38.0,44.0
2016-02-10,32.0,17.0,33.0,41.0,53.0,27.0,12.0,10.0,40.0,35.0
2016-02-11,34.0,21.0,27.0,61.0,40.0,34.0,7.0,10.0,32.0,35.0
2016-02-12,28.0,16.0,24.0,35.0,41.0,29.0,4.0,5.0,34.0,25.0
2016-02-13,9.0,3.0,14.0,11.0,11.0,7.0,null,4.0,11.0,8.0
2016-02-14,7.0,4.0,1.0,9.0,10.0,4.0,3.0,3.0,11.0,8.0
2016-02-15,12.0,7.0,15.0,43.0,19.0,17.0,8.0,8.0,20.0,7.0
2016-02-16,22.0,10.0,12.0,51.0,49.0,24.0,7.0,8.0,42.0,31.0
2016-02-17,46.0,12.0,24.0,54.0,42.0,36.0,5.0,9.0,26.0,42.0
2016-02-18,33.0,14.0,24.0,41.0,54.0,37.0,15.0,17.0,38.0,39.0
2016-02-19,26.0,12.0,19.0,43.0,39.0,27.0,7.0,9.0,31.0,29.0
2016-02-20,10.0,2.0,14.0,19.0,13.0,10.0,1.0,2.0,17.0,10.0
2016-02-21,2.0,6.0,7.0,15.0,13.0,7.0,2.0,5.0,9.0,5.0
2016-02-22,36.0,18.0,22.0,37.0,34.0,30.0,10.0,5.0,32.0,30.0
2016-02-23,53.0,17.0,34.0,54.0,52.0,42.0,15.0,7.0,40.0,42.0
2016-02-24,37.0,15.0,22.0,53.0,52.0,34.0,6.0,14.0,47.0,41.0
2016-02-25,38.0,11.0,21.0,50.0,41.0,24.0,12.0,13.0,37.0,35.0
2016-02-26,18.0,7.0,27.0,28.0,32.0,18.0,9.0,11.0,30.0,27.0
2016-02-27,9.0,5.0,13.0,11.0,16.0,5.0,5.0,4.0,19.0,10.0
2016-02-28,5.0,3.0,8.0,14.0,14.0,9.0,5.0,1.0,6.0,8.0
2016-02-29,39.0,19.0,20.0,41.0,46.0,25.0,10.0,10.0,30.0,17.0
2016-03-01,39.0,22.0,34.0,54.0,46.0,44.0,19.0,16.0,41.0,32.0
2016-03-02,30.0,20.0,25.0,66.0,52.0,33.0,20.0,13.0,38.0,31.0
2016-03-03,42.0,15.0,29.0,43.0,39.0,42.0,6.0,5.0,37.0,48.0
2016-03-04,21.0,16.0,28.0,48.0,47.0,24.0,9.0,6.0,37.0,22.0
2016-03-05,16.0,8.0,10.0,28.0,19.0,8.0,3.0,4.0,19.0,10.0
2016-03-06,1.0,3.0,7.0,27.0,19.0,7.0,2.0,6.0,14.0,6.0
2016-03-07,28.0,11.0,24.0,41.0,33.0,25.0,14.0,11.0,33.0,21.0
2016-03-08,35.0,16.0,25.0,72.0,65.0,28.0,20.0,5.0,39.0,34.0
2016-03-09,28.0,15.0,19.0,38.0,43.0,36.0,18.0,10.0,37.0,47.0
2016-03-10,27.0,14.0,20.0,42.0,31.0,28.0,15.0,7.0,32.0,30.0
2016-03-11,55.0,8.0,28.0,50.0,28.0,36.0,8.0,13.0,29.0,32.0
2016-03-12,8.0,5.0,10.0,15.0,16.0,7.0,4.0,3.0,15.0,10.0
2016-03-13,3.0,6.0,10.0,25.0,12.0,5.0,2.0,6.0,10.0,2.0
2016-03-14,39.0,16.0,19.0,40.0,36.0,27.0,16.0,9.0,35.0,24.0
2016-03-15,42.0,13.0,34.0,71.0,64.0,34.0,17.0,16.0,42.0,58.0
2016-03-16,34.0,22.0,26.0,71.0,46.0,32.0,12.0,10.0,52.0,31.0
2016-03-17,38.0,11.0,21.0,65.0,64.0,32.0,15.0,17.0,49.0,31.0
2016-03-18,27.0,12.0,16.0,67.0,59.0,32.0,21.0,16.0,64.0,18.0
2016-03-19,10.0,4.0,10.0,22.0,26.0,10.0,4.0,3.0,19.0,13.0
2016-03-20,5.0,5.0,8.0,21.0,23.0,8.0,7.0,4.0,23.0,5.0
2016-03-21,34.0,9.0,25.0,61.0,47.0,27.0,19.0,6.0,45.0,27.0
2016-03-22,47.0,14.0,28.0,56.0,50.0,33.0,9.0,8.0,43.0,31.0
2016-03-23,38.0,5.0,14.0,59.0,63.0,31.0,9.0,8.0,45.0,43.0
2016-03-24,32.0,11.0,23.0,65.0,47.0,24.0,13.0,11.0,59.0,34.0
2016-03-25,26.0,13.0,22.0,51.0,44.0,16.0,12.0,4.0,34.0,32.0
2016-03-26,4.0,2.0,6.0,21.0,12.0,5.0,8.0,5.0,16.0,9.0
